Dungeon Name,Adventurer 1 Class,Adventurer 1 Level,Adventurer 2 Class,Adventurer 2 Level,Adventurer 3 Class,Adventurer 3 Level,Adventurer 4 Class,Adventurer 4 Level,Encounter 1,Encounter 2,Encounter 3,Encounter 4,Encounter 5,Encounter 6,Encounter 7,Encounter 8,Encounter 9,Encounter 10,Encounter 11,Encounter 12,# Encounters,# Encounters Beaten,Victory?,Defeated By,# of Fighter Adventurers,Total Level of Fighter Adventurers,Max Level of Fighter Adventurers,# of Ranger Adventurers,Total Level of Ranger Adventurers,Max Level of Ranger Adventurers,# of Mage Adventurers,Total Level of Mage Adventurers,Max Level of Mage Adventurers,# of Cleric Adventurers,Total Level of Cleric Adventurers,Max Level of Cleric Adventurers,# of Druid Adventurers,Total Level of Druid Adventurers,Max Level of Druid Adventurers,# of Rogue Adventurers,Total Level of Rogue Adventurers,Max Level of Rogue Adventurers,# of Goblins Encounters,# of Goblin Chieftain Encounters,# of Wolves Encounters,# of Orcs Encounters,# of Orc Warlord Encounters,# of Orc Shaman Encounters,# of Skeletons Encounters,# of Zombies Encounters,# of Ghosts Encounters,# of Basilisk Encounters,# of Lich Encounters,# of Dragon Encounters,# of Boulder Trap Encounters,# of Lever Puzzle Room Encounters,# of Riddle Door Encounters,# of Cursed Altar Encounters,# of Snake Pit Encounters,# of Poison Needle Trap Encounters
Timeless Temple of Darkflight Pass,Rogue,2,Druid,1,Cleric,3,Cleric,2,Cursed Altar,Riddle Door,Boulder Trap,Zombies,Riddle Door,,,,,,,,5,4,0,Riddle Door,0,0,0,0,0,0,0,0,0,2,5,3,1,1,1,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0
Abandoned Dungeon of Stonefell Peak,Druid,1,Mage,2,Ranger,2,Fighter,3,Riddle Door,Riddle Door,Poison Needle Trap,Boulder Trap,Snake Pit,Goblins,,,,,,,6,6,1,,1,3,3,1,2,2,1,2,2,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1
Black Orc Keep of Stonefell Peak,Rogue,2,Mage,2,Cleric,2,Rogue,2,Orcs,Cursed Altar,Orcs,Orc Shaman,,,,,,,,,4,3,0,Orc Shaman,0,0,0,0,0,0,1,2,2,1,2,2,0,0,0,2,4,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Goblin Fort of Almadris,Rogue,4,Cleric,4,Cleric,4,Druid,3,Goblins,Poison Needle Trap,Goblins,Goblins,Poison Needle Trap,Poison Needle Trap,Goblins,Goblins,Goblins,Goblin Chieftain,,,10,9,0,Goblin Chieftain,0,0,0,0,0,0,0,0,0,2,8,4,1,3,3,1,4,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Old Cave of Cheliax,Mage,2,Cleric,1,Ranger,2,Fighter,2,Snake Pit,Wolves,Basilisk,,,,,,,,,,3,2,0,Basilisk,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Abandoned Treasure of Sintharion,Ranger,4,Druid,2,Fighter,3,Fighter,2,Wolves,Snake Pit,Boulder Trap,Skeletons,Cursed Altar,Ghosts,Poison Needle Trap,,,,,,7,6,0,Poison Needle Trap,2,5,3,1,4,4,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1
Nightmare Maw of Khaz-Gorond,Cleric,2,Ranger,3,Druid,3,Rogue,3,Lever Puzzle Room,Wolves,Cursed Altar,Basilisk,,,,,,,,,4,4,1,,0,0,0,1,3,3,0,0,0,1,2,2,1,3,3,1,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Forgotten Temple of Stonefell Peak,Mage,3,Cleric,2,Ranger,3,Fighter,2,Snake Pit,Skeletons,Snake Pit,Snake Pit,Cursed Altar,Poison Needle Trap,Skeletons,,,,,,7,6,0,Skeletons,1,2,2,1,3,3,1,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,1
Old Maw of Stormwind,Mage,5,Fighter,4,Ranger,4,Druid,3,Wolves,Poison Needle Trap,Cursed Altar,Wolves,Boulder Trap,Basilisk,,,,,,,6,6,1,,1,4,4,1,4,4,1,5,5,0,0,0,1,3,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
Forgotten Temple of Calantha,Cleric,4,Rogue,3,Druid,4,Mage,4,Snake Pit,Riddle Door,Zombies,Ghosts,Skeletons,Zombies,,,,,,,6,6,1,,0,0,0,0,0,0,1,4,4,1,4,4,1,4,4,1,3,3,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,1,0
Forgotten Temple of Riverfell,Rogue,4,Mage,4,Fighter,4,Cleric,3,Snake Pit,Ghosts,Skeletons,Riddle Door,Skeletons,Riddle Door,Poison Needle Trap,Zombies,Lever Puzzle Room,,,,9,9,1,,1,4,4,0,0,0,1,4,4,1,3,3,0,0,0,1,4,4,0,0,0,0,0,0,2,1,1,0,0,0,0,1,2,0,1,1
Nightmare Cave of Lakeshore,Ranger,4,Cleric,4,Druid,4,Druid,3,Wolves,Boulder Trap,Wolves,Wolves,Basilisk,,,,,,,,5,5,1,,0,0,0,1,4,4,0,0,0,1,4,4,2,7,4,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Goblin Town of Stonefell Peak,Ranger,3,Ranger,1,Cleric,2,Druid,2,Snake Pit,Goblins,Goblins,Goblins,Snake Pit,Goblins,,,,,,,6,6,1,,0,0,0,2,4,3,0,0,0,1,2,2,1,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Lost Dungeon of Azmar,Ranger,1,Cleric,1,Druid,3,Mage,2,Poison Needle Trap,Zombies,Snake Pit,Boulder Trap,Poison Needle Trap,,,,,,,,5,5,1,,0,0,0,1,1,1,1,2,2,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2
Sunken Cave of Lakeshore,Rogue,5,Cleric,3,Ranger,3,Druid,4,Zombies,Poison Needle Trap,Zombies,Lever Puzzle Room,Skeletons,Lich,,,,,,,6,6,1,,0,0,0,1,3,3,0,0,0,1,3,3,1,4,4,1,5,5,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,1
Timeless Treasure of Azmar,Rogue,2,Cleric,2,Rogue,3,Druid,1,Poison Needle Trap,Skeletons,Skeletons,Lever Puzzle Room,Unknown,,,,,,,,5,3,0,Lever Puzzle Room,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,2,5,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
Abandoned Treasure of Galoron,Druid,5,Mage,6,Ranger,4,Fighter,5,Snake Pit,Skeletons,Boulder Trap,Lich,Cursed Altar,Orcs,Boulder Trap,Wolves,,,,,8,8,1,,1,5,5,1,4,4,1,6,6,0,0,0,1,5,5,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,2,0,0,1,1,0
Mountain Goblin Tunnels of Darkflight Pass,Cleric,5,Ranger,4,Mage,5,Fighter,6,Boulder Trap,Wolves,Wolves,Goblins,Goblins,Wolves,Goblins,Boulder Trap,Boulder Trap,Goblin Chieftain,,,10,10,1,,1,6,6,1,4,4,1,5,5,1,5,5,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Dread Den of Calantha,Ranger,2,Fighter,2,Mage,3,Cleric,3,Riddle Door,Orcs,Riddle Door,Orcs,Cursed Altar,Basilisk,,,,,,,6,5,0,Basilisk,1,2,2,1,2,2,1,3,3,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0
Sunken Tomb of Icemarch,Druid,2,Fighter,1,Druid,2,Ranger,3,Skeletons,Poison Needle Trap,Lich,,,,,,,,,,3,3,1,,1,1,1,1,3,3,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Lost Dungeon of Icemarch,Ranger,4,Cleric,1,Rogue,4,Fighter,2,Riddle Door,Riddle Door,Ghosts,Poison Needle Trap,Snake Pit,,,,,,,,5,5,1,,1,2,2,1,4,4,0,0,0,1,1,1,0,0,0,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1
Goblin Warrens of Sintharion,Rogue,5,Ranger,4,Mage,2,Rogue,2,Goblins,Goblins,Goblins,Snake Pit,Snake Pit,Unknown,Unknown,,,,,,7,4,0,Snake Pit,0,0,0,1,4,4,1,2,2,0,0,0,0,0,0,2,7,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Old Lair of Riverfell,Fighter,3,Ranger,4,Cleric,2,Fighter,3,Wolves,Goblins,Riddle Door,Riddle Door,Goblins,Basilisk,,,,,,,6,5,0,Basilisk,2,6,3,1,4,4,0,0,0,1,2,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
Undead Mausoleum of Riverfell,Mage,2,Rogue,3,Rogue,3,Fighter,3,Poison Needle Trap,Poison Needle Trap,Zombies,Ghosts,Ghosts,Skeletons,,,,,,,6,5,0,Skeletons,1,3,3,0,0,0,1,2,2,0,0,0,0,0,0,2,6,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2
Infernal Cave of Stormwind,Mage,2,Rogue,3,Ranger,3,Rogue,3,Zombies,Snake Pit,Lich,,,,,,,,,,3,2,0,Lich,0,0,0,1,3,3,1,2,2,0,0,0,0,0,0,2,6,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Lost Treasure of Cheliax,Rogue,5,Mage,5,Druid,3,Rogue,6,Skeletons,Zombies,Lever Puzzle Room,Ghosts,Cursed Altar,Unknown,Unknown,Unknown,Unknown,,,,9,4,0,Cursed Altar,0,0,0,0,0,0,1,5,5,0,0,0,1,3,3,2,11,6,0,0,0,0,0,0,2,1,1,0,0,0,0,2,1,2,0,0
Abandoned Temple of Sintharion,Ranger,4,Rogue,3,Druid,3,Rogue,7,Boulder Trap,Poison Needle Trap,Cursed Altar,Wolves,Boulder Trap,Ghosts,Lever Puzzle Room,,,,,,7,7,1,,0,0,0,1,4,4,0,0,0,0,0,0,1,3,3,2,10,7,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1
Forgotten Dungeon of Azmar,Mage,3,Fighter,4,Ranger,3,Rogue,4,Skeletons,Riddle Door,Riddle Door,Boulder Trap,Lever Puzzle Room,Poison Needle Trap,Ghosts,Riddle Door,,,,,8,8,1,,1,4,4,1,3,3,1,3,3,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,1,0,1,0,0,0,1,1,3,0,0,1
Goblin Town of Limeneth,Fighter,2,Mage,3,Ranger,2,Druid,3,Boulder Trap,Boulder Trap,Goblins,Goblins,Goblins,Goblins,Goblin Chieftain,,,,,,7,7,1,,1,2,2,1,2,2,1,3,3,0,0,0,1,3,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Timeless Treasure of Almadris,Mage,5,Mage,4,Rogue,6,Ranger,4,Boulder Trap,Poison Needle Trap,Zombies,Boulder Trap,Boulder Trap,Ghosts,Boulder Trap,Unknown,,,,,8,6,0,Boulder Trap,0,0,0,1,4,4,2,9,5,0,0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1,1
Old Lair of Icemarch,Rogue,5,Cleric,3,Ranger,4,Rogue,5,Orcs,Lever Puzzle Room,Riddle Door,Wolves,Riddle Door,Orcs,Basilisk,,,,,,7,6,0,Basilisk,0,0,0,1,4,4,0,0,0,1,3,3,0,0,0,2,10,5,0,0,1,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0
Sunken Cave of Stonefell Peak,Mage,3,Druid,5,Ranger,4,Ranger,3,Skeletons,Zombies,Lever Puzzle Room,Cursed Altar,Lich,,,,,,,,5,5,1,,0,0,0,2,7,4,1,3,3,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
Undead Sepulcher of Limeneth,Druid,3,Ranger,2,Ranger,3,Mage,2,Skeletons,Boulder Trap,Boulder Trap,Ghosts,Unknown,Unknown,,,,,,,6,3,0,Ghosts,0,0,0,2,5,3,1,2,2,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0
Timeless Dungeon of Stonefell Peak,Ranger,3,Druid,3,Druid,3,Rogue,6,Skeletons,Zombies,Wolves,Zombies,Cursed Altar,Poison Needle Trap,Boulder Trap,,,,,,7,6,0,Boulder Trap,0,0,0,1,3,3,0,0,0,0,0,0,2,6,3,1,6,6,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,1,0,1
Forgotten Treasure of Sintharion,Druid,2,Cleric,2,Druid,3,Fighter,2,Lever Puzzle Room,Boulder Trap,Poison Needle Trap,Skeletons,Poison Needle Trap,,,,,,,,5,5,1,,1,2,2,0,0,0,0,0,0,1,2,2,2,5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2
Lost Temple of Calantha,Druid,3,Rogue,3,Ranger,4,Ranger,3,Zombies,Wolves,Snake Pit,Lever Puzzle Room,Cursed Altar,Poison Needle Trap,,,,,,,6,6,1,,0,0,0,2,7,4,0,0,0,0,0,0,1,3,3,1,3,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1
Black Orc Town of Almadris,Fighter,3,Cleric,3,Mage,4,Cleric,4,Poison Needle Trap,Orcs,Wolves,Poison Needle Trap,Orc Shaman,Orc Warlord,,,,,,,6,6,1,,1,3,3,0,0,0,1,4,4,2,7,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Nightmare Cave of Galoron,Mage,2,Ranger,2,Fighter,2,Mage,3,Boulder Trap,Orcs,Basilisk,,,,,,,,,,3,3,1,,1,2,2,1,2,2,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Orc Tower of Calantha,Fighter,3,Fighter,3,Rogue,6,Cleric,3,Cursed Altar,Orcs,Wolves,Orcs,Cursed Altar,Orcs,Orcs,,,,,,7,7,1,,2,6,3,0,0,0,0,0,0,1,3,3,0,0,0,1,6,6,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Nightmare Lair of Khaz-Gorond,Fighter,3,Ranger,3,Cleric,2,Mage,4,Lever Puzzle Room,Wolves,Dragon,,,,,,,,,,3,3,1,,1,3,3,1,3,3,1,4,4,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Old Tomb of Icemarch,Fighter,3,Cleric,2,Rogue,5,Druid,3,Skeletons,Skeletons,Lever Puzzle Room,Lich,,,,,,,,,4,3,0,Lich,1,3,3,0,0,0,0,0,0,1,2,2,1,3,3,1,5,5,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0
Orc City of Limeneth,Druid,5,Rogue,8,Cleric,7,Fighter,5,Orc Shaman,Poison Needle Trap,Wolves,Poison Needle Trap,Poison Needle Trap,Orcs,Orc Shaman,Orcs,Orc Warlord,,,,9,9,1,,1,5,5,0,0,0,0,0,0,1,7,7,1,5,5,1,8,8,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3
Orc Town of Lemarchand,Fighter,4,Rogue,5,Cleric,4,Cleric,5,Orcs,Orcs,Orcs,Orcs,Orcs,Cursed Altar,Cursed Altar,Cursed Altar,Orcs,,,,9,9,1,,1,4,4,0,0,0,0,0,0,2,9,5,0,0,0,1,5,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Orc Tower of Calantha,Ranger,5,Druid,3,Cleric,5,Druid,3,Orc Shaman,Boulder Trap,Wolves,Orcs,Boulder Trap,Unknown,Unknown,,,,,,7,4,0,Boulder Trap,0,0,0,1,5,5,0,0,0,1,5,5,2,6,3,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0
Undead Mausoleum of Stonefell Peak,Ranger,3,Cleric,4,Fighter,4,Mage,2,Zombies,Cursed Altar,Cursed Altar,Ghosts,Ghosts,Ghosts,,,,,,,6,6,1,,1,4,4,1,3,3,1,2,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0
Forgotten Temple of Limeneth,Fighter,2,Mage,1,Druid,3,Rogue,3,Lever Puzzle Room,Riddle Door,Wolves,Boulder Trap,,,,,,,,,4,3,0,Boulder Trap,1,2,2,0,0,0,1,1,1,0,0,0,1,3,3,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Sunken Lair of Almadris,Mage,5,Cleric,4,Fighter,4,Druid,4,Lever Puzzle Room,Zombies,Zombies,Poison Needle Trap,Zombies,Poison Needle Trap,Dragon,,,,,,7,6,0,Dragon,1,4,4,0,0,0,1,5,5,1,4,4,1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,2
Dread Lair of Cheliax,Rogue,4,Ranger,5,Fighter,5,Cleric,3,Wolves,Boulder Trap,Orcs,Lever Puzzle Room,Orcs,Boulder Trap,Basilisk,,,,,,7,7,1,,1,5,5,1,5,5,0,0,0,1,3,3,0,0,0,1,4,4,0,0,1,2,0,0,0,0,0,1,0,0,2,1,0,0,0,0
Undead Ziggurat of Riverfell,Fighter,4,Druid,5,Mage,6,Fighter,5,Zombies,Ghosts,Skeletons,Poison Needle Trap,Zombies,Poison Needle Trap,Lich,,,,,,7,7,1,,2,9,5,0,0,0,1,6,6,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,2
Old Cave of Calantha,Rogue,3,Mage,3,Druid,4,Mage,2,Snake Pit,Zombies,Lich,,,,,,,,,,3,3,1,,0,0,0,0,0,0,2,5,3,0,0,0,1,4,4,1,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Undead Sepulcher of Lakeshore,Druid,3,Ranger,2,Mage,4,Ranger,3,Cursed Altar,Zombies,Skeletons,Ghosts,Cursed Altar,Unknown,,,,,,,6,4,0,Cursed Altar,0,0,0,2,5,3,1,4,4,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0
Nightmare Lair of Riverfell,Fighter,3,Ranger,3,Rogue,4,Ranger,3,Boulder Trap,Wolves,Wolves,Lever Puzzle Room,Cursed Altar,Basilisk,,,,,,,6,6,1,,1,3,3,2,6,3,0,0,0,0,0,0,0,0,0,1,4,4,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
Undead Keep of Azmar,Druid,4,Ranger,3,Fighter,3,Druid,4,Zombies,Skeletons,Poison Needle Trap,Lich,,,,,,,,,4,4,1,,1,3,3,1,3,3,0,0,0,0,0,0,2,8,4,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
Infernal Den of Stormwind,Ranger,3,Cleric,4,Fighter,4,Rogue,5,Skeletons,Riddle Door,Skeletons,Dragon,,,,,,,,,4,4,1,,1,4,4,1,3,3,0,0,0,1,4,4,0,0,0,1,5,5,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0
Sunken Cave of Cheliax,Ranger,2,Rogue,5,Fighter,3,Mage,2,Cursed Altar,Skeletons,Zombies,Lich,,,,,,,,,4,3,0,Lich,1,3,3,1,2,2,1,2,2,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
Goblin Cave of Limeneth,Rogue,3,Ranger,1,Mage,2,Cleric,1,Snake Pit,Goblins,Goblins,Goblins,,,,,,,,,4,4,1,,0,0,0,1,1,1,1,2,2,1,1,1,0,0,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Undead Keep of Cheliax,Rogue,4,Druid,3,Druid,3,Rogue,4,Cursed Altar,Cursed Altar,Skeletons,Zombies,Ghosts,Unknown,Unknown,,,,,,7,4,0,Ghosts,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,2,8,4,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,2,0,0
Orc Tower of Riverfell,Druid,5,Cleric,5,Ranger,5,Mage,3,Orcs,Orcs,Orcs,Cursed Altar,Orcs,Cursed Altar,Orc Shaman,,,,,,7,7,1,,0,0,0,1,5,5,1,3,3,1,5,5,1,5,5,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,0
Lost Dungeon of Lemarchand,Mage,5,Fighter,4,Cleric,3,Fighter,4,Poison Needle Trap,Lever Puzzle Room,Skeletons,Cursed Altar,Lever Puzzle Room,Poison Needle Trap,Ghosts,Unknown,Unknown,,,,9,6,0,Ghosts,2,8,4,0,0,0,1,5,5,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,1,0,2
Forgotten Temple of Lemarchand,Mage,3,Druid,2,Ranger,4,Rogue,3,Wolves,Poison Needle Trap,Poison Needle Trap,Lever Puzzle Room,Riddle Door,Wolves,,,,,,,6,6,1,,0,0,0,1,4,4,1,3,3,0,0,0,1,2,2,1,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
Lost Temple of Galoron,Ranger,3,Ranger,4,Rogue,5,Cleric,3,Boulder Trap,Riddle Door,Ghosts,Cursed Altar,Zombies,Snake Pit,Zombies,Snake Pit,,,,,8,7,0,Snake Pit,0,0,0,2,7,4,0,0,0,1,3,3,0,0,0,1,5,5,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,1,2,0
Lost Treasure of Sintharion,Ranger,3,Cleric,4,Mage,4,Druid,4,Ghosts,Riddle Door,Skeletons,Snake Pit,Boulder Trap,Boulder Trap,Cursed Altar,,,,,,7,7,1,,0,0,0,1,3,3,1,4,4,1,4,4,1,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,1,1,0
Old Tomb of Khaz-Gorond,Rogue,5,Cleric,3,Ranger,5,Druid,4,Snake Pit,Zombies,Zombies,Riddle Door,Lever Puzzle Room,Skeletons,Lich,,,,,,7,7,1,,0,0,0,1,5,5,0,0,0,1,3,3,1,4,4,1,5,5,0,0,0,0,0,0,1,2,0,0,1,0,0,1,1,0,1,0
Goblin Cave of Riverfell,Fighter,3,Cleric,3,Rogue,3,Mage,3,Goblins,Poison Needle Trap,Goblins,Poison Needle Trap,Goblins,Goblins,Goblin Chieftain,,,,,,7,7,1,,1,3,3,0,0,0,1,3,3,1,3,3,0,0,0,1,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Dread Den of Stormwind,Cleric,4,Fighter,4,Rogue,6,Cleric,4,Cursed Altar,Riddle Door,Skeletons,Zombies,Lich,,,,,,,,5,5,1,,1,4,4,0,0,0,0,0,0,2,8,4,0,0,0,1,6,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
Orc Fort of Cheliax,Ranger,4,Fighter,3,Fighter,4,Druid,4,Snake Pit,Wolves,Wolves,Wolves,Wolves,Snake Pit,Orcs,,,,,,7,7,1,,2,7,4,1,4,4,0,0,0,0,0,0,1,4,4,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Dread Den of Azmar,Cleric,4,Druid,3,Fighter,5,Rogue,5,Snake Pit,Boulder Trap,Skeletons,Snake Pit,Skeletons,Zombies,Basilisk,,,,,,7,7,1,,1,5,5,0,0,0,0,0,0,1,4,4,1,3,3,1,5,5,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,2,0
Dread Tomb of Azmar,Ranger,5,Mage,4,Fighter,4,Druid,5,Skeletons,Cursed Altar,Skeletons,Zombies,Lich,,,,,,,,5,4,0,Lich,1,4,4,1,5,5,1,4,4,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0
Undead Ziggurat of Stonefell Peak,Fighter,1,Rogue,5,Ranger,2,Fighter,1,Zombies,Poison Needle Trap,Ghosts,Zombies,,,,,,,,,4,3,0,Zombies,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
Undead Pyramid of Cheliax,Rogue,4,Rogue,6,Mage,3,Druid,4,Zombies,Boulder Trap,Ghosts,Ghosts,Ghosts,Boulder Trap,Zombies,,,,,,7,6,0,Zombies,0,0,0,0,0,0,1,3,3,0,0,0,1,4,4,2,10,6,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0
Infernal Lair of Azmar,Cleric,6,Druid,5,Ranger,5,Mage,4,Wolves,Boulder Trap,Goblins,Goblins,Snake Pit,Riddle Door,Dragon,,,,,,7,7,1,,0,0,0,1,5,5,1,4,4,1,6,6,1,5,5,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
Infernal Lair of Icemarch,Ranger,4,Rogue,6,Fighter,4,Rogue,6,Skeletons,Skeletons,Poison Needle Trap,Boulder Trap,Lich,,,,,,,,5,5,1,,1,4,4,1,4,4,0,0,0,0,0,0,0,0,0,2,12,6,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1
Goblin Hole of Stormwind,Druid,2,Rogue,5,Cleric,2,Fighter,2,Boulder Trap,Goblins,Boulder Trap,Goblins,Goblins,Goblins,,,,,,,6,6,1,,1,2,2,0,0,0,0,0,0,1,2,2,1,2,2,1,5,5,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Forgotten Temple of Sintharion,Mage,2,Rogue,4,Cleric,2,Druid,1,Zombies,Skeletons,Zombies,Boulder Trap,Riddle Door,,,,,,,,5,5,1,,0,0,0,0,0,0,1,2,2,1,2,2,1,1,1,1,4,4,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0
Goblin Town of Darkflight Pass,Mage,2,Druid,4,Mage,3,Ranger,4,Goblins,Goblins,Goblins,Goblins,Goblins,Snake Pit,Snake Pit,Snake Pit,Goblin Chieftain,,,,9,8,0,Goblin Chieftain,0,0,0,1,4,4,2,5,3,0,0,0,1,4,4,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Timeless Treasure of Lakeshore,Rogue,4,Cleric,3,Fighter,3,Fighter,4,Poison Needle Trap,Ghosts,Zombies,Wolves,Zombies,Boulder Trap,Cursed Altar,,,,,,7,7,1,,2,7,4,0,0,0,0,0,0,1,3,3,0,0,0,1,4,4,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,1,0,1
Night Goblin Tower of Calantha,Cleric,4,Cleric,4,Druid,5,Mage,3,Goblins,Goblins,Boulder Trap,Boulder Trap,Ghosts,Goblins,Boulder Trap,Goblins,Unknown,,,,9,7,0,Goblins,0,0,0,0,0,0,1,3,3,2,8,4,1,5,5,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
Old Lair of Stonefell Peak,Mage,5,Ranger,5,Ranger,5,Druid,4,Skeletons,Skeletons,Riddle Door,Skeletons,Lich,,,,,,,,5,5,1,,0,0,0,2,10,5,1,5,5,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0
